2012;48;2012.12.01.;0;0 Ft;57;1 006 670 Ft;3484;17 440 Ft;88141;1 340 Ft;15;33;56;60;76
2012;47;2012.11.24.;0;0 Ft;18;3 142 000 Ft;2432;24 625 Ft;74837;1 555 Ft;20;26;59;72;75
2012;46;2012.11.17.;0;0 Ft;25;2 236 790 Ft;2572;23 020 Ft;76918;1 495 Ft;16;24;40;64;73
2012;45;2012.11.10.;0;0 Ft;56;1 020 520 Ft;3858;15 685 Ft;99240;1 185 Ft;9;16;49;54;68
2012;44;2012.11.03.;0;0 Ft;70;738 885 Ft;5006;10 940 Ft;113936;935 Ft;3;15;19;63;89
2012;43;2012.10.27.;0;0 Ft;44;1 154 975 Ft;3682;14 615 Ft;85494;1 225 Ft;15;18;37;48;72
2012;42;2012.10.20.;0;0 Ft;30;1 780 410 Ft;1871;30 225 Ft;74016;1 485 Ft;47;51;53;57;63
2012;41;2012.10.13.;0;0 Ft;29;1 918 450 Ft;2557;23 040 Ft;76507;1 495 Ft;6;23;41;81;85
2012;40;2012.10.06.;0;0 Ft;23;2 215 025 Ft;2637;20 455 Ft;79178;1 325 Ft;18;28;29;33;59
2012;39;2012.09.29.;1;772 148 640 Ft;50;1 104 375 Ft;3666;15 950 Ft;92652;1 225 Ft;2;12;29;68;86
2012;38;2012.09.22.;0;0 Ft;35;1 574 155 Ft;3233;18 045 Ft;88219;1 285 Ft;28;38;52;56;65
2012;37;2012.09.15.;0;0 Ft;15;3 880 670 Ft;2020;30 510 Ft;65181;1 840 Ft;39;62;73;83;90
2012;36;2012.09.08.;0;0 Ft;44;1 237 955 Ft;3440;16 765 Ft;92393;1 215 Ft;1;7;30;44;69
2012;35;2012.09.01.;0;0 Ft;11;4 797 205 Ft;1491;37 475 Ft;57449;1 890 Ft;24;75;83;84;85
2012;34;2012.08.25.;0;0 Ft;12;4 313 725 Ft;2346;23 365 Ft;77624;1 375 Ft;7;26;37;81;88
2012;33;2012.08.18.;0;0 Ft;41;1 316 475 Ft;3093;18 475 Ft;86499;1 285 Ft;11;42;53;64;66
2012;32;2012.08.11.;0;0 Ft;18;3 113 740 Ft;2496;23 775 Ft;82893;1 390 Ft;16;23;26;74;75
2012;31;2012.08.04.;1;709 556 535 Ft;42;1 369 405 Ft;3216;18 935 Ft;86492;1 370 Ft;16;22;28;40;54
2012;30;2012.07.28.;0;0 Ft;35;1 614 650 Ft;2996;19 970 Ft;90394;1 285 Ft;7;33;35;83;89
2012;29;2012.07.21.;0;0 Ft;26;2 207 860 Ft;3658;16 615 Ft;101268;1 165 Ft;19;43;46;47;52
2012;28;2012.07.14.;0;0 Ft;22;2 938 155 Ft;2661;25 720 Ft;81847;1 625 Ft;20;44;52;65;83
